REGION,STATE,CITY,POPULATION
South,Tennessee,"Jackson, TN",66847
Midwest,Wisconsin,"Oshkosh, WI",66665
Midwest,Minnesota,"Eagan, MN",66627
Midwest,Iowa,"Ames, IA",66498
South,Arkansas,"Rogers, AR",66430
Pacific,California,"Lake Elsinore, CA",66411
South,Tennessee,"Johnson City, TN",66391
Pacific,California,"Laguna Niguel, CA",66334
South,Florida,"North Port, FL",66300
South,Arkansas,"North Little Rock, AR",65911
Pacific,California,"Lodi, CA",65884
South,Georgia,"Alpharetta, GA",65799
South,Arkansas,"Conway, AR",65782
South,Florida,"Tamarac, FL",65669
Northeast,New York,"Schenectady, NY",65625
Midwest,Iowa,"West Des Moines, IA",65608
Midwest,Kansas,"Shawnee, KS",65513
Pacific,California,"Madera, CA",65508
South,Texas,"Harlingen, TX",65467
Northeast,New Jersey,"East Orange, NJ",65378
Pacific,California,"San Clemente, CA",65267
Pacific,California,"Santa Cruz, CA",65021
Pacific,California,"Rocklin, CA",64838
Midwest,Ohio,"Youngstown, OH",64604
Midwest,Minnesota,"Blaine, MN",64557
Pacific,Washington,"Sammamish, WA",64548
Midwest,Minnesota,"Eden Prairie, MN",64400
Midwest,Wisconsin,"Janesville, WI",64359
Pacific,Washington,"Redmond, WA",64291
South,Alabama,"Auburn, AL",63973
Pacific,California,"Tulare, CA",63855
Midwest,Ohio,"Lorain, OH",63841
Midwest,Minnesota,"Lakeville, MN",63748
Northeast,Massachusetts,"Haverhill, MA",63639
Mountain,Wyoming,"Cheyenne, WY",63624
Pacific,California,"Pico Rivera, CA",63522
South,Texas,"Pflugerville, TX",63359
Pacific,California,"Eastvale, CA",63211
South,Florida,"Port Orange, FL",63203
Pacific,California,"Montebello, CA",63192
Pacific,California,"Encinitas, CA",63184
South,Texas,"San Marcos, TX",63071
South,Texas,"Rowlett, TX",62868
Mountain,Utah,"Lehi, UT",62712
Midwest,Minnesota,"Coon Rapids, MN",62656
Mountain,Colorado,"Grand Junction, CO",62475
Pacific,California,"La Habra, CA",62466
Northeast,Massachusetts,"Waltham, MA",62442
Pacific,California,"Brentwood, CA",62433
Midwest,Iowa,"Ankeny, IA",62416
Pacific,Oregon,"Springfield, OR",62353
Midwest,Iowa,"Council Bluffs, IA",62316
South,Florida,"North Miami, FL",62225
Midwest,Ohio,"Hamilton, OH",62092
Midwest,Indiana,"Noblesville, IN",61882
South,Oklahoma,"Moore, OK",61523
Midwest,Minnesota,"Burnsville, MN",61439
Pacific,California,"National City, CA",61363
Midwest,Michigan,"Taylor, MI",61276
Northeast,Massachusetts,"Malden, MA",61246
South,Florida,"Doral, FL",61130
Mountain,Idaho,"Idaho Falls, ID",61076
South,Georgia,"Marietta, GA",61048
Pacific,California,"Monterey Park, CA",61044
South,Florida,"Coconut Creek, FL",61010
Pacific,California,"Dublin, CA",60939
Pacific,California,"Petaluma, CA",60870
Pacific,California,"Cupertino, CA",60777
Midwest,Indiana,"Terre Haute, IN",60774
Northeast,New York,"Utica, NY",60635
Northeast,New Jersey,"Vineland, NJ",60392
Pacific,Washington,"Lakewood, WA",60296
Pacific,California,"Gardena, CA",60224
Northeast,Connecticut,"Bristol, CT",60223
Mountain,Utah,"Millcreek, UT",60192
Pacific,California,"La Mesa, CA",60021
Pacific,California,"Woodland, CA",60012
Mountain,Utah,"Taylorsville, UT",59992
Midwest,Wisconsin,"West Allis, WI",59934
Northeast,Connecticut,"Meriden, CT",59927
Midwest,Michigan,"Pontiac, MI",59792
Midwest,Michigan,"Novi, MI",59715
Northeast,Pennsylvania,"Lancaster, PA",59708
Midwest,Michigan,"St. Clair Shores, MI",59635
South,Kentucky,"Owensboro, KY",59404
South,Florida,"Sanford, FL",59317
Midwest,Ohio,"Springfield, OH",59208
Pacific,California,"Porterville, CA",59145
Midwest,Michigan,"Royal Oak, MI",59112
South,Florida,"Ocala, FL",59110
South,Tennessee,"Bartlett, TN",59102
Pacific,California,"San Rafael, CA",59070
Northeast,New York,"White Plains, NY",59047
Mountain,Montana,"Great Falls, MT",58876
South,Maryland,"Bowie, MD",58859
Pacific,California,"Huntington Park, CA",58822
